state,town,college1990,male1990,black1990,hisp1990,income1990,logincome1990,subrf2000,gopvoteshare1992,gopvoteshare1996,gopvoteshare2000
Mn,Pine River,0.074104913,0.465974629,0,0.010338886,1.041746736,0.040898858,0,0.576449912,0.545582048,0.616049383
Mn,Powers,0.07259953,0.494176358,0,0,1.666700006,0.510845627,0,0.416058394,0.432926829,0.536340852
Mn,Remer,0.113960117,0.488469601,0,0,1.107608318,0.102203023,0,0.368421053,0.403292181,0.502262443
Mn,Shingobee,0.167416736,0.532520354,0.00538358,0.006729475,2.413800001,0.88120227,31.20316565,0.46686747,0.43741403,0.511627907
Mn,Turtle Lake,0.144615382,0.492569,0,0,1.895799994,0.63964091,31.20316565,0.379699248,0.410714286,0.494318182
Mn,Wabedo,0.140703514,0.526748955,0,0.016194332,2.625,0.965080896,31.20316565,0.473684211,0.527777778,0.580246914
Mn,Walden,0.032432433,0.515337408,0,0,1.854200006,0.617453339,0,0.518181818,0.633928571,0.642857143
Mn,Walker,0.194050997,0.472631574,0.00631579,0,1.989599943,0.687933585,31.20316565,0.478354978,0.404867257,0.514177694
Mn,Wilson,0.070370369,0.52505964,0,0,1.727300048,0.546559523,0,0.490066225,0.52739726,0.638655462
Mn,Clara,0.064039409,0.45943898,0.0015163,0,2.116699934,0.749858241,0,0.532803181,0.468916519,0.582298137
Mn,Granite Falls,0.160419792,0.508982062,0.002985075,0.009950249,2.116054058,0.749553061,0,0.36827957,0.328467153,0.475903614
Mn,Maynard,0.085271321,0.479115486,0,0.022113021,2.5,0.916290732,0,0.349462366,0.297619048,0.406779661
Mn,Milan,0.179487184,0.491666675,0,0.045822103,1.64470005,0.497558027,0,0.318181818,0.35483871,0.409937888
Mn,Montevideo,0.119735099,0.453570783,0,0.00307971,1.944200039,0.664850601,0,0.418198963,0.380844303,0.460884354
Mn,Watson,0.013793103,0.476851851,0,0.052631579,1.5,0.405465108,0,0.362637363,0.3375,0.460526316
Mn,Center,0.223404258,0.525959373,0,0,4.069399834,1.403495528,0,0.407216495,0.366812227,0.481848185
Mn,Chisago,0.142962411,0.460925847,0,0.00397812,2.732999802,1.005399834,0,0.423167849,0.39624609,0.500738552
Mn,Harris,0.052000001,0.508896768,0.008274232,0.008274232,2.718800068,1.000190631,0,0.393442623,0.401960784,0.527383367
Mn,Lent,0.09371981,0.516972721,0.00219901,0.015942825,3.903800011,1.36195044,0,0.452307692,0.496445498,0.587327376
Mn,Lindstrom,0.135562316,0.479886234,0,0.006090134,2.644399881,0.972444152,0,0.375232775,0.376712329,0.495939675
Mn,North,0.103167422,0.472415626,0,0.00267094,2.195199966,0.786273143,0,0.37704918,0.382857143,0.538927598
Mn,Rush,0.09336333,0.466265857,0,0.00266489,2.01609993,0.701164917,0,0.39047619,0.314136126,0.482758621
Mn,Shafer,0.093023255,0.511049747,0,0,2.25006175,0.81095766,0,0.40625,0.403930131,0.500860585
Mn,Stacy,0.042589437,0.50231266,0,0,2.557300091,0.93895205,0,0.37630662,0.39084507,0.575963719
Mn,Taylors Falls,0.134736836,0.478620678,0,0,2.164099932,0.772004539,0,0.426829268,0.434210526,0.501240695
Mn,Barnesville,0.125600547,0.48259145,0,0.003519578,1.273218513,0.241547956,0,0.468499427,0.381548975,0.495983936
Mn,Dilworth,0.102631576,0.493364573,0,0.017087379,2.633300066,0.968237838,0,0.387513455,0.36219641,0.488313856
Mn,Elmwood,0.090196081,0.493472576,0,0,3.57949996,1.275223115,0,NA,0.481283422,0.587064677
Mn,Felton,0.047619049,0.532894731,0,0.075657897,1.515020847,0.415429199,0,0.442857143,0.451851852,0.571428571
Mn,Hawley,0.147753239,0.493689328,0,0.002421308,2.144349337,0.762836167,0,0.481942715,0.405349794,0.535984848
Mn,Hitterdal,0.090322584,0.487288147,0,0,1.609400034,0.47586146,0,NA,0.304878049,0.436893204
Mn,Moorhead,0.278645515,0.466672748,0.003901052,0.023708722,2.416638613,0.882377572,0,0.498589121,0.462234132,0.522772717
Mn,Oakport,0.174170613,0.506101966,0,0.012056737,2.371881485,0.863683516,0,0.586750789,0.541843972,0.604790419
Mn,Sabin,0.037037037,0.503118515,0,0,2.976599932,1.090781687,0,NA,0.35326087,0.617021277
Mn,Ulen,0.093511447,0.495890409,0.002739726,0,1.561411142,0.445589991,0,NA,0.414634146,0.536912752
Mn,Bagley,0.086910993,0.454610944,0,0,1.274999976,0.24294616,0,0.44989339,0.402777778,0.511247444
Mn,Clearbrook,0.06601467,0.432971001,0,0.012522361,1.397699952,0.334827994,0,0.440366972,0.461206897,0.588014981
Mn,Shevlin,0.112852663,0.492753625,0,0,1.579529405,0.457126958,0,0.38150289,0.45026178,0.612149533
Mn,Grand Marais,0.224220619,0.469684035,0,0,2.218800068,0.79696654,0,0.5,0.484507042,0.494409938
Mn,Jeffers,0.083067089,0.45514223,0,0.021413276,1.861099958,0.621167688,0,0.385620915,0.298342541,0.44
Mn,Mountain Lake,0.104591839,0.472222209,0,0.01764706,1.815520287,0.596372086,0,0.662236988,0.658484525,0.718120805
Mn,Storden,0.10958904,0.51197052,0,0,1.402358055,0.338155145,0,0.536082474,0.513636364,0.610859729
Mn,Westbrook,0.112171836,0.451957285,0,0,1.514782667,0.415271975,0,0.427616927,0.464212679,0.52532833
