"","voter.id","treatment","victim.status","ge2000","ge2002","fam.members","age","party","sex","pct.white","median.income"
"39069",38476,1,3,"N",0,2,26,"D","F",0.303438,40500
"39070",38477,0,3,"N",0,1,58,"D","F",0.791346,63889
"39071",38478,1,3,"Y",1,1,70,"D","M",0.915705,26078
"39072",38479,0,3,"N",0,1,38,"D","M",0.610546,32279
"39073",38480,0,3,"Y",0,1,74,"D","M",0.761671,45703
"39074",38481,0,3,"N",0,2,98,"D","F",0.734375,56250
"39075",38482,0,3,"N",0,1,47,"D","F",0.030324,40814
"39076",38483,0,3,"N",0,2,25,"D","F",0.271838,38996
"39077",38484,0,3,"N",0,2,48,"D","M",0.172884,40830
"39078",38485,1,3,"N",0,1,57,"D","F",0.033485,16845
"39079",38486,0,3,"N",0,3,51,"N","M",0.075924,31957
"39080",38487,1,3,"Y",1,1,29,"D","F",0.439299,41098
"39081",38488,0,3,"N",0,1,35,"D","M",0.260119,37813
"39082",38489,0,3,"N",0,2,43,"D","M",0.710908,52150
"39083",38490,0,3,"N",0,2,40,"D","F",0.710908,52150
"39084",38491,0,3,"N",0,1,28,"D","M",0.763074,75263
"39085",38492,0,3,"N",0,2,37,"N","M",0.644986,37308
"39086",38493,0,3,"N",0,2,35,"N","M",0.82572,65357
"39087",38494,0,3,"N",0,3,47,"N","M",0.703213,50164
"39088",38495,0,3,"N",0,1,52,"N","M",0.526473,34727
"39089",38496,0,2,"N",0,2,58,"N","M",0.761671,45703
"39090",38497,0,3,"Y",0,1,27,"D","M",0.968575,46583
"39091",38498,0,3,"Y",1,2,66,"D","M",0.778075,42444
"39092",38499,0,3,"Y",1,1,34,"N","M",0.759789,57489
"39093",38500,0,3,"N",0,1,40,"N","M",0.476658,44000
"39094",38501,1,3,"N",0,1,33,"N","M",0.888708,56346
"39095",38502,0,3,"N",0,1,27,"D","F",0.147783,41250
"39096",38503,0,3,"Y",0,1,29,"N","F",0.883822,87010
"39097",38504,0,3,"Y",0,2,71,"D","F",0.719371,52109
"39098",38505,0,3,"N",0,3,31,"N","F",0.859901,57969
"39099",38506,1,3,"N",0,3,31,"D","M",0.989784,55100
"39100",38507,0,3,"N",0,1,41,"D","M",0.28063,46821
"39101",38508,0,3,"N",0,1,27,"N","M",0.716999,46944
"39102",38509,1,3,"Y",0,1,39,"D","F",0,49602
"39103",38510,0,3,"N",0,2,36,"N","F",0.653986,35250
"39104",38511,0,3,"N",0,2,69,"N","F",0.653986,35250
"39105",38512,0,3,"Y",1,1,29,"D","M",0.816065,58281
"39106",38513,0,3,"N",0,1,39,"N","F",0.690476,45179
"39107",38514,0,3,"N",1,1,65,"D","F",0.019717,39206
"39108",38515,0,3,"N",0,1,64,"N","F",0.908924,68750
"39109",38516,0,3,"Y",1,2,52,"D","M",0.836364,79102
"39110",38516,0,3,"Y",1,2,52,"D","M",0.836364,79102
"39111",38517,0,3,"N",0,1,30,"D","F",0.644265,47370
"39112",38518,0,2,"N",0,3,31,"D","F",0.006304,15722
"39113",38519,0,3,"N",0,2,34,"N","F",0.926342,53000
"39114",38520,0,3,"N",0,1,55,"N","F",0.603175,51250
"39115",38521,0,3,"Y",0,4,25,"N","M",0.0455,31371
"39116",38522,0,3,"N",0,1,30,"D","F",0.547149,61023
"39117",38523,0,3,"N",1,1,40,"N","F",0.791346,63889
"39118",38524,0,3,"N",0,3,67,"D","F",0.019717,39206
"39119",38525,0,3,"Y",0,2,50,"D","F",0.536357,52321
"39120",38526,0,3,"Y",1,3,58,"D","M",0.019717,39206
"39121",38527,0,3,"Y",1,3,29,"D","F",0.019717,39206
"39122",38528,0,3,"N",0,2,44,"D","M",0.275943,52500
"39123",38529,0,3,"N",0,2,53,"D","M",0.144357,46518
"39124",38530,0,3,"Y",0,1,36,"D","M",0.147783,41250
"39125",38531,0,3,"N",0,2,59,"D","F",0.328777,42439
"39126",38532,0,3,"N",0,2,31,"N","F",0.12549,31795
"39127",38533,1,3,"N",0,1,28,"N","F",0.836828,49808
"39128",38534,0,3,"N",0,1,26,"D","F",0.328777,42439
"39129",38535,0,3,"N",0,1,29,"D","F",0.734375,56250
"39130",38536,0,3,"Y",1,2,38,"N","M",0.78673,61429
"39131",38537,0,2,"N",0,2,51,"N","F",0.761671,45703
"39132",38538,0,3,"N",0,1,70,"D","M",0.676471,41450
"39133",38539,0,3,"Y",0,1,31,"D","M",0.125569,35357
"39134",38540,0,3,"N",0,2,35,"N","M",0.473944,40491
"39135",38541,0,3,"N",0,1,55,"D","M",0.666016,40117
"39136",38542,1,3,"Y",0,1,65,"D","M",0.456054,46378
"39137",38543,1,3,"N",0,1,55,"D","F",0.679152,54375
"39138",38544,0,3,"N",0,1,63,"N","M",0.109967,54233
"39139",38545,0,3,"Y",1,4,46,"N","M",0.700778,51719
"39140",38545,0,3,"Y",1,4,46,"N","M",0.700778,51719
"39141",38546,0,3,"Y",0,1,30,"N","M",0.826366,61740
"39142",38547,0,3,"N",0,2,98,"D","M",0.842901,62193
"39143",38548,0,3,"N",0,2,31,"N","F",0.603175,51250
"39144",38549,0,3,"N",0,1,33,"N","M",0.740463,41625
"39145",38550,0,3,"N",0,2,26,"N","M",0.913163,51250
"39146",38551,0,3,"N",0,1,31,"N","M",0.878344,60528
"39147",38552,0,3,"N",0,1,44,"D","F",0.508127,42429
"39148",38553,0,3,"Y",1,2,43,"N","M",0.926342,53000
"39149",38554,1,3,"Y",0,2,60,"D","F",0.765993,41250
"39150",38555,0,3,"N",0,2,33,"N","M",0.66015,38485
"39151",38556,0,3,"Y",1,1,23,"D","F",0.03882,31250
"39152",38557,0,3,"Y",0,2,34,"D","F",0.887472,56824
"39153",38558,0,3,"Y",0,2,38,"D","M",0.826366,61740
"39154",38559,1,3,"Y",0,1,26,"N","F",0.627551,70313
"39155",38560,0,2,"Y",1,6,55,"N","M",0.919505,60926
"39156",38561,0,2,"Y",1,6,56,"N","F",0.919505,60926
"39157",38562,0,3,"N",0,1,57,"N","F",0.959352,57560
"39158",38563,0,3,"Y",1,1,30,"D","F",0.788866,76597
"39159",38564,0,3,"N",0,2,38,"D","F",0.888112,62905
"39160",38565,0,3,"N",0,2,32,"N","F",0.464928,53031
"39161",38566,0,3,"Y",0,3,41,"D","F",0.608911,73125
